id,pair,source_filter,blocked_direction,flip_direction,entry_price,pnl_pct,peak_pct,trough_pct,exit_reason,is_paper,entry_at,exit_at,entry_cohort,entry_gap,entry_rsi,entry_rsi_prev,entry_adx,entry_adx_prev,entry_adx_delta,entry_pos_di,entry_neg_di,entry_ema_gap_5_8,entry_ema_gap_8_13,entry_ema5_stretch,entry_price_vs_ema5_pct,entry_atr_pct,entry_pair_ema20_ema50_gap_pct,entry_dist_from_ema13_pct,entry_range_position,entry_btc_adx,entry_btc_rsi,entry_btc_ema20_slope,entry_btc_1h_slope,entry_btc_dist_from_ema13_pct,entry_macro_trend,entry_btc_regime,entry_ema20_slope,entry_ema50_slope,entry_global_volume_ratio,entry_pair_volume_ratio,entry_bull_pct,entry_bear_pct,entry_pair_volume_24h_usd,entry_pair_rank,entry_quality_score,entry_btc_adx_prev,entry_btc_rsi_prev,entry_btc_rsi_prev6,entry_btc_atr_pct,entry_btc_rsi_1h,entry_btc_rsi_1h_prev
63,YFIUSDT,PASS:FLIP_SHORT_REGIME,SHORT,SHORT,2341.0,1.2451,1.4951,-0.299,trail,True,2026-07-07T06:54:32.565690,2026-07-07T07:04:10.530008,,0.0913,53.35,45.72,25.3366,26.1758,-0.8391,21.07939284962367,15.763683270354242,0.2163,0.1442,0.5178,0.5205,1.2795,-3.2931,0.8832,93.1,22.388,68.7,0.077,-0.113,0.2912,BULLISH,HEALTHY_BULL,0.0797,-2.0647,0.9086,0.6975,82.5,12.5,350241512.3,11,1,21.7755,63.5,47.5,0.1524,50.0,44.8
71,ONDOUSDT,PASS:LONG_UNMATCHED_ONLY,LONG,LONG,0.331,0.2417,0.3927,-0.1511,horizon,True,2026-07-07T06:44:17.613636,2026-07-07T07:29:18.303860,C2,0.2321,64.9,57.28,16.3453,15.8434,0.5019,28.77680838505219,18.0644523253652,0.0688,0.0857,0.1893,0.1897,0.2635,-0.0017,0.3445,95.9,21.9325,59.2,0.0551,-0.1347,0.1474,BULLISH,HEALTHY_BULL,0.1023,0.0265,0.968,0.6986,77.5,20.0,49931944.24947,39,2,22.4529,60.2,42.7,0.1525,47.4,44.8
70,ONDOUSDT,LONG_UNMATCHED_ONLY,LONG,SHORT,0.331,-0.2417,0.1511,-0.3927,horizon,True,2026-07-07T06:44:17.613614,2026-07-07T07:29:18.301227,C2,0.2321,64.9,57.28,16.3453,15.8434,0.5019,28.77680838505219,18.0644523253652,0.0688,0.0857,0.1893,0.1897,0.2635,-0.0017,0.3445,95.9,21.9325,59.2,0.0551,-0.1347,0.1474,BULLISH,HEALTHY_BULL,0.1023,0.0265,0.968,0.6986,77.5,20.0,49931944.24947,39,2,22.4529,60.2,42.7,0.1525,47.4,44.8
69,AVAXUSDT,PASS:FLIP_SHORT_REGIME,SHORT,SHORT,6.771,-0.4283,0.1034,-0.5021,horizon,True,2026-07-07T06:42:15.783391,2026-07-07T07:27:16.759328,,0.1046,59.51,55.75,26.0597,27.0316,-0.9719,24.632080844206957,18.800975159509996,0.0603,0.0469,0.1546,0.1548,0.2172,-0.3587,0.2622,93.0,21.9325,58.7,0.0543,-0.1361,0.1397,BULLISH,HEALTHY_BULL,0.0648,-0.2264,0.8383,0.5496,75.0,22.5,97546373.119,28,1,22.4529,60.2,42.7,0.1503,47.2,44.8
68,XLMUSDT,PASS:LONG_UNMATCHED_ONLY,LONG,LONG,0.19643,-0.1985,0.2138,-0.2342,horizon,True,2026-07-07T06:41:14.861891,2026-07-07T07:26:15.485311,C4+C9,0.2101,59.08,62.83,19.8681,19.7712,0.0969,27.593779564397686,17.967859731849916,0.0709,0.0838,0.0887,0.0887,0.2639,-0.1444,0.2436,87.2,21.9325,60.4,0.0569,-0.1345,0.1637,BULLISH,HEALTHY_BULL,0.1145,-0.0783,0.7761,0.4935,75.0,20.0,102985735.59777,25,3,22.4529,60.2,42.7,0.1494,47.5,44.8
67,XLMUSDT,LONG_UNMATCHED_ONLY,LONG,SHORT,0.19643,0.1985,0.2342,-0.2138,horizon,True,2026-07-07T06:41:14.861737,2026-07-07T07:26:15.482499,C4+C9,0.2101,59.08,62.83,19.8681,19.7712,0.0969,27.593779564397686,17.967859731849916,0.0709,0.0838,0.0887,0.0887,0.2639,-0.1444,0.2436,87.2,21.9325,60.4,0.0569,-0.1345,0.1637,BULLISH,HEALTHY_BULL,0.1145,-0.0783,0.7761,0.4935,75.0,20.0,102985735.59777,25,3,22.4529,60.2,42.7,0.1494,47.5,44.8
60,HYPEUSDT,PASS:LONG_UNMATCHED_ONLY,LONG,LONG,70.59,0.311,0.561,-0.1119,trail,True,2026-07-07T06:39:12.909986,2026-07-07T06:57:59.240666,W1+W5+W6,0.2742,62.32,55.19,22.1505,21.3973,0.7532,28.76670097266128,14.838229507645456,0.089,0.1085,0.2448,0.2454,0.3211,-0.0539,0.4435,93.4,22.5306,59.6,0.0441,-0.1346,0.1747,BULLISH,HEALTHY_BULL,0.1167,-0.0076,1.0068,0.9762,72.5,17.5,639612378.60771,8,4,23.0992,58.4,45.1,0.1575,47.4,44.8
62,HYPEUSDT,LONG_UNMATCHED_ONLY,LONG,SHORT,70.59,-0.7,0.1119,-0.7055,sl,True,2026-07-07T06:39:12.909966,2026-07-07T07:02:33.222105,W1+W5+W6,0.2742,62.32,55.19,22.1505,21.3973,0.7532,28.76670097266128,14.838229507645456,0.089,0.1085,0.2448,0.2454,0.3211,-0.0539,0.4435,93.4,22.5306,59.6,0.0441,-0.1346,0.1747,BULLISH,HEALTHY_BULL,0.1167,-0.0076,1.0068,0.9762,72.5,17.5,639612378.60771,8,4,23.0992,58.4,45.1,0.1575,47.4,44.8
66,XRPUSDT,PASS:FLIP_SHORT_REGIME,SHORT,SHORT,1.1306,-0.1504,0.0708,-0.3449,horizon,True,2026-07-07T06:39:12.894757,2026-07-07T07:24:13.695987,,0.147,65.0,54.04,24.4513,24.8229,-0.3716,24.892870613635402,16.726747892744708,0.0609,0.0577,0.183,0.1834,0.1881,-0.1705,0.3022,97.2,22.5306,59.6,0.0441,-0.1346,0.1747,BULLISH,HEALTHY_BULL,0.0718,-0.0979,1.0068,0.8921,72.5,17.5,647941021.4411,7,0,23.0992,58.4,45.1,0.1575,47.4,44.8
64,NEARUSDT,PASS:FLIP_SHORT_REGIME,SHORT,SHORT,2.013,-0.7,0.0994,-0.7452,sl,True,2026-07-07T06:38:11.872541,2026-07-07T07:16:47.043682,,0.1227,56.92,49.21,25.5532,27.113,-1.5599,21.098235092530953,18.983926011692017,0.0686,0.0606,0.2221,0.2226,0.3816,-0.4966,0.3521,93.9,22.1926,59.4,0.0436,-0.1305,0.1702,BULLISH,HEALTHY_BULL,0.056,-0.2909,0.926,0.5161,80.0,17.5,181578263.349,17,1,23.0992,58.4,45.1,0.1536,48.0,44.8
58,PYTHUSDT,PASS:LONG_UNMATCHED_ONLY,LONG,LONG,0.04465,0.2875,0.5375,0.0,trail,True,2026-07-07T06:37:11.128647,2026-07-07T06:39:34.719125,C2+W6,0.2547,58.55,50.18,17.0211,16.5423,0.4787,26.52086995413187,16.51685003206629,0.0821,0.1056,0.2717,0.2724,0.506,-0.1071,0.4607,89.0,22.0757,56.1,0.0378,-0.1409,0.1177,BULLISH,HEALTHY_BULL,0.0687,-0.0431,0.8479,0.6844,75.0,17.5,45609295.49,44,4,23.0992,58.4,45.1,0.1515,46.6,44.8
65,PYTHUSDT,LONG_UNMATCHED_ONLY,LONG,SHORT,0.04465,0.2427,0.4927,-0.6495,trail,True,2026-07-07T06:37:11.128626,2026-07-07T07:16:59.107313,C2+W6,0.2547,58.55,50.18,17.0211,16.5423,0.4787,26.52086995413187,16.51685003206629,0.0821,0.1056,0.2717,0.2724,0.506,-0.1071,0.4607,89.0,22.0757,56.1,0.0378,-0.1409,0.1177,BULLISH,HEALTHY_BULL,0.0687,-0.0431,0.8479,0.6844,75.0,17.5,45609295.49,44,4,23.0992,58.4,45.1,0.1515,46.6,44.8
59,FARTCOINUSDT,PASS:FLIP_SHORT_REGIME,SHORT,SHORT,0.1609,-0.7,0.0622,-0.7458,sl,True,2026-07-07T06:35:08.801467,2026-07-07T06:49:28.696465,,0.083,57.34,49.5,16.48,17.2802,-0.8002,23.133106220771165,20.482412681066517,0.0633,0.0458,0.3856,0.3871,0.4895,-0.5168,0.4967,96.6,23.0512,57.7,0.0206,-0.139,0.1603,BULLISH,HEALTHY_BULL,0.0469,-0.2662,1.0522,0.799,75.0,15.0,39236342.95212,48,0,24.2775,53.0,48.3,0.1588,46.9,44.8
56,DEXEUSDT,PASS:FLIP_SHORT_BTC1H_SLOPE,SHORT,SHORT,27.74,0.471,0.721,-0.4326,trail,True,2026-07-07T02:51:12.607315,2026-07-07T03:03:28.795488,,0.0597,53.64,48.14,16.1055,17.1167,-1.0111,21.498929161426254,20.262435921473703,0.0736,0.0253,0.1939,0.1943,0.5314,-0.3251,0.2934,78.0,29.3169,29.0,-0.1334,0.1495,-0.3142,BEARISH,BEAR_EXHAUSTED,0.0683,-0.2216,0.7816,0.7364,17.5,80.0,61818393.15543,36,1,27.7523,28.1,29.8,0.1814,49.4,56.1
55,TLMUSDT,PASS:FLIP_SHORT_BTC1H_SLOPE,SHORT,SHORT,0.003134,-0.7,0.0,-0.702,sl,True,2026-07-07T02:45:06.377377,2026-07-07T02:45:29.368314,,0.1654,59.85,42.27,16.537,16.9634,-0.4265,27.213566852075626,21.823134023293136,0.2331,0.0483,1.9758,2.0157,1.6197,-1.4502,2.3028,92.7,26.1017,34.4,-0.1381,0.1722,-0.1924,BEARISH,HEALTHY_BEAR,0.105,-0.9428,1.0993,1.1807,15.0,82.5,288521538.314455,13,2,24.7331,27.7,39.0,0.1842,51.7,56.1
57,BTCUSDT,SPIKE_REV_BTC,SHORT,LONG,63487.6,-0.3459,0.1638,-0.3943,horizon,True,2026-07-07T02:31:05.283934,2026-07-07T03:16:06.177112,,,,,,,,,,,,,,,,,,,,,,,BEARISH,HEALTHY_BEAR,,,,,,,,,,,,,,,
53,LITUSDT,PASS:FLIP_SHORT_BTC1H_SLOPE,SHORT,SHORT,2.589,0.341,0.591,-0.3708,trail,True,2026-07-07T01:25:44.250479,2026-07-07T01:37:32.387753,,0.1737,57.18,52.93,18.6872,19.9091,-1.2219,23.382810157540085,22.107834615150256,0.1674,0.067,0.4315,0.4333,0.6842,-0.4467,0.6689,84.1,18.2123,41.9,-0.0445,0.2876,-0.1226,BEARISH,HEALTHY_BEAR,0.1566,-0.3204,0.9278,0.6437,17.5,77.5,260401945.7675,14,2,19.1355,43.0,53.3,0.1699,58.7,63.2
54,1000BONKUSDT,PASS:FLIP_SHORT_BTC1H_SLOPE,SHORT,SHORT,0.004457,-0.7,0.3814,-0.718,sl,True,2026-07-07T01:15:35.348702,2026-07-07T01:47:12.315826,,0.1591,55.45,51.53,15.5202,15.4094,0.1108,25.56071926583261,18.147551409820796,0.0663,0.0657,0.2106,0.211,0.6151,-0.0229,0.3433,72.0,20.2792,42.3,-0.0615,0.2886,-0.1297,BEARISH,HEALTHY_BEAR,0.0785,0.0418,0.9721,0.3914,15.0,80.0,118455306.148155,25,1,21.6254,41.2,52.0,0.1759,58.8,63.2
50,IDUSDT,PASS:FLIP_SHORT_BTC1H_SLOPE,SHORT,SHORT,0.03977,0.2529,0.5029,0.0,trail,True,2026-07-07T01:02:22.765150,2026-07-07T01:03:50.530374,,0.1158,58.21,52.52,21.9412,21.8394,0.1018,28.140762387260892,17.51834250484947,0.1858,0.0403,0.7485,0.7541,0.9118,-0.3,0.982,77.4,24.961,44.8,0.0137,0.3013,-0.1153,NEUTRAL,CHOPPY_FLAT,0.115,-0.4635,0.9314,0.8679,30.0,45.0,38671348.14288,50,1,25.8016,53.3,56.0,0.1641,60.5,63.2
51,PUMPUSDT,PASS:FLIP_SHORT_BTC1H_SLOPE,SHORT,SHORT,0.001643,0.2369,0.4869,-0.1217,trail,True,2026-07-07T01:02:22.730098,2026-07-07T01:06:00.980326,,0.2459,54.96,61.35,16.1666,16.2048,-0.0382,26.894101821961602,19.607452915076827,0.1022,0.1079,0.003,-0.003,0.4282,-0.1568,0.2071,74.1,24.961,44.8,0.0137,0.3013,-0.1153,NEUTRAL,CHOPPY_FLAT,0.1467,-0.1216,0.9314,0.9958,30.0,45.0,68838552.098325,33,2,25.8016,53.3,56.0,0.1641,60.5,63.2
52,ONDOUSDT,PASS:FLIP_SHORT_BTC1H_SLOPE,SHORT,SHORT,0.3358,0.4349,0.6849,-0.2978,trail,True,2026-07-07T00:52:11.469562,2026-07-07T01:06:03.158130,,0.1526,56.39,51.56,25.0338,25.822,-0.7882,28.935642904276186,21.480707891261318,0.0637,0.0742,0.0455,0.0455,0.263,-0.1532,0.1835,73.8,24.9882,49.8,-0.0043,0.3538,0.0071,NEUTRAL,CHOPPY_FLAT,0.0542,-0.1272,0.9549,0.7633,27.5,50.0,48792166.20211,44,1,25.445,52.0,58.8,0.147,62.4,61.3
47,BLURUSDT,PASS:FLIP_SHORT_BTC1H_SLOPE,SHORT,SHORT,0.02136,2.1376,2.3876,0.0,trail,True,2026-07-07T00:15:38.309259,2026-07-07T00:15:50.015770,,0.2309,53.45,40.3,23.6328,25.0168,-1.384,18.719948516393682,16.720982314569525,0.0738,0.0171,0.5661,0.5693,2.0345,1.6785,0.6607,53.2,26.0067,38.8,-0.0453,0.3379,-0.0947,BEARISH,HEALTHY_BEAR,0.0424,1.1312,0.7553,1.1277,20.0,77.5,110182259.0537,25,2,27.3681,38.9,43.7,0.1238,61.0,61.3
48,BELUSDT,PASS:FLIP_SHORT_BTC1H_SLOPE,SHORT,SHORT,0.12816,-0.7,0.0,-0.7179,sl,True,2026-07-07T00:15:38.300627,2026-07-07T00:16:14.087213,,0.1041,56.16,47.41,24.4608,25.4564,-0.9956,17.233457607943894,21.720183765799888,0.1004,0.029,0.4942,0.4966,0.8391,-0.4798,0.6267,74.3,26.0067,38.8,-0.0453,0.3379,-0.0947,BEARISH,HEALTHY_BEAR,0.082,-0.2918,0.7553,0.7932,20.0,77.5,134763190.86248,22,1,27.3681,38.9,43.7,0.1238,61.0,61.3
46,VANRYUSDT,PASS:FLIP_SHORT_BTC1H_SLOPE,SHORT,SHORT,0.007563,-0.7,0.0,-0.7404,sl,True,2026-07-07T00:10:33.693374,2026-07-07T00:10:42.936925,,0.2223,55.71,47.33,19.924,19.5093,0.4147,23.659019396030693,14.100357527181103,0.1928,0.0325,0.8187,0.8254,1.7997,-0.2164,1.0527,66.1,27.549,39.0,-0.0448,0.3382,-0.1066,BEARISH,HEALTHY_BEAR,0.2001,-0.1942,0.7457,0.7559,15.0,82.5,677931652.251821,6,3,28.856,39.4,40.6,0.1289,61.0,61.3
49,DEXEUSDT,PASS:FLIP_SHORT_BTC1H_SLOPE,SHORT,SHORT,27.94,-0.7,0.1432,-0.7158,sl,True,2026-07-07T00:01:24.077362,2026-07-07T00:38:37.263879,,0.1786,61.28,52.55,15.4466,14.6887,0.7579,23.3745885890119,13.93541557397058,0.1142,0.0793,0.2605,0.2612,0.4874,-0.3206,0.4553,72.7,30.9862,42.0,-0.0392,0.3435,-0.0906,BEARISH,STRONG_BEAR,0.1046,-0.24,0.6015,1.1745,12.5,87.5,61000129.06805,36,3,32.6945,39.6,46.0,0.1351,61.6,61.3
45,PYTHUSDT,PASS:FLIP_SHORT_BTC1H_SLOPE,SHORT,SHORT,0.04555,0.7599,1.0099,0.0,trail,True,2026-07-07T00:00:23.187626,2026-07-07T00:05:05.859695,,0.0751,59.44,40.5,29.8847,30.1225,-0.2378,26.33025749340424,15.2023397843318,0.1294,0.036,0.4561,0.4581,0.576,-0.6061,0.6243,82.6,32.6574,39.6,-0.0378,0.4523,-0.1395,BEARISH,STRONG_BEAR,0.0717,-0.4508,0.5564,1.2191,12.5,85.0,43425261.60648,47,3,34.4959,44.8,41.6,0.1414,61.3,65.4
42,YFIUSDT,PASS:FLIP_SHORT_BTC1H_SLOPE,SHORT,SHORT,2671.0,0.4613,0.7113,-0.1498,trail,True,2026-07-06T23:32:53.824182,2026-07-06T23:33:38.492258,,0.1035,56.24,47.41,24.2073,24.1066,0.1007,23.955449590647266,14.215467061213511,0.073,0.0265,0.838,0.8451,1.5872,0.7905,0.892,50.3,39.2499,46.4,-0.0436,0.4683,-0.0718,BEARISH,STRONG_BEAR,0.0995,0.6034,0.6434,0.7898,22.5,67.5,259131513.3,14,1,40.619,41.6,53.3,0.1541,63.4,65.4
43,EPICUSDT,PASS:FLIP_SHORT_BTC1H_SLOPE,SHORT,SHORT,0.4031,1.5113,1.7613,-0.3225,trail,True,2026-07-06T23:31:52.987927,2026-07-06T23:35:33.874310,,0.5324,59.38,62.67,27.2844,26.4327,0.8517,24.92570446361034,11.105431964128973,0.1654,0.1685,0.1273,0.1275,0.8305,1.1633,0.4622,73.0,39.1682,45.7,-0.0449,0.4669,-0.084,BEARISH,STRONG_BEAR,0.2867,0.6603,0.5791,0.5685,25.0,70.0,102676315.04618,26,3,40.619,41.6,53.3,0.1531,63.2,65.4
44,BELUSDT,PASS:FLIP_SHORT_BTC1H_SLOPE,SHORT,SHORT,0.12891,1.0843,1.3343,0.0,trail,True,2026-07-06T23:31:52.977025,2026-07-06T23:36:46.110930,,0.5472,59.74,61.88,23.0378,24.232,-1.1942,19.690233017973828,16.938318483756,0.2193,0.2298,0.258,0.2587,0.71,-0.359,0.7095,94.0,39.1682,45.7,-0.0449,0.4669,-0.084,BEARISH,STRONG_BEAR,0.2747,-0.2836,0.5791,0.7442,25.0,70.0,134529173.4248,22,2,40.619,41.6,53.3,0.1531,63.2,65.4
41,BTCUSDT,SPIKE_REV_BTC,LONG,SHORT,64499.9,0.4521,0.5338,-0.0274,horizon,True,2026-07-06T21:55:49.942162,2026-07-06T22:40:50.742277,,,,,,,,,,,,,,,,,,,,,,,BULLISH,BULL_EXHAUSTED,,,,,,,,,,,,,,,
39,LITUSDT,PASS:FLIP_SHORT_BTC1H_SLOPE,SHORT,SHORT,2.5986,-0.7,0.2386,-0.7004,sl,True,2026-07-06T21:35:55.852220,2026-07-06T21:41:27.126886,,0.4712,54.67,50.71,21.3285,21.7788,-0.4504,23.91991117927508,17.50930220850195,0.2034,0.2224,0.1562,0.1565,0.9448,-0.2961,0.5834,84.1,38.9097,64.6,0.1207,0.3883,0.2205,BULLISH,STRONG_BULL,0.1698,-0.2575,0.4388,0.5396,75.0,17.5,265932200.69552,14,1,37.5225,66.6,78.5,0.2136,68.5,63.3
40,BTCUSDT,SPIKE_REV_BTC,LONG,SHORT,64351.6,-0.1217,0.3489,-0.52,horizon,True,2026-07-06T21:09:10.326490,2026-07-06T21:54:10.648335,,,,,,,,,,,,,,,,,,,,,,,BULLISH,HEALTHY_BULL,,,,,,,,,,,,,,,
37,FARTCOINUSDT,PASS:FLIP_SHORT_BTC1H_SLOPE,SHORT,SHORT,0.1653,-0.7,0.0,-0.8469,sl,True,2026-07-06T21:06:26.307586,2026-07-06T21:09:06.296483,,0.2456,58.15,54.47,27.3868,27.0868,0.3,27.478352731878008,14.381646442843174,0.1342,0.1054,0.1854,0.1857,0.4849,0.2005,0.4259,88.9,23.6581,56.1,0.0229,0.3261,0.0634,BULLISH,HEALTHY_BULL,0.119,0.0309,0.4651,0.6963,25.0,42.5,39919457.33469,50,3,23.6701,54.0,61.1,0.1277,63.6,63.3
35,BLURUSDT,PASS:FLIP_SHORT_REGIME,SHORT,SHORT,0.02005,-0.7,0.1995,-0.798,sl,True,2026-07-06T20:56:14.686347,2026-07-06T20:57:10.752850,,0.1766,54.72,48.93,15.7895,16.849,-1.0594,15.840547596781121,16.49259886867342,0.1166,0.0441,0.5269,0.5297,1.7132,2.0555,0.6913,72.5,23.6636,59.1,0.0418,0.3445,0.1142,BULLISH,HEALTHY_BULL,0.108,1.2189,0.3273,0.4962,37.5,35.0,73709200.41177,32,1,23.4802,61.3,54.1,0.1347,63.9,62.1
36,TRBUSDT,PASS:FLIP_SHORT_REGIME,SHORT,SHORT,17.952,0.3962,0.6462,-0.1225,trail,True,2026-07-06T20:53:11.217011,2026-07-06T21:03:03.058909,,0.085,55.94,43.79,19.5306,19.9342,-0.4036,24.72700868915022,18.54595506278876,0.1238,0.0374,0.381,0.3824,0.5918,-0.4457,0.5443,70.5,22.6684,57.2,0.0305,0.3386,0.0853,BULLISH,HEALTHY_BULL,0.0699,-0.3948,0.4151,0.9639,37.5,40.0,68171835.659,34,0,23.0048,54.5,45.4,0.1344,63.4,62.1
38,UNIUSDT,PASS:FLIP_SHORT_REGIME,SHORT,SHORT,3.208,-0.7,0.2805,-0.904,sl,True,2026-07-06T20:40:57.679756,2026-07-06T21:09:07.307931,,0.1098,61.02,59.09,15.7558,16.4689,-0.7131,20.795028667610875,18.2619851382966,0.0609,0.0339,0.1382,0.1384,0.2279,0.2199,0.2333,84.6,23.8442,61.1,0.0616,0.3435,0.1508,BULLISH,HEALTHY_BULL,0.0769,0.0924,0.4384,0.6547,45.0,40.0,47988253.461,45,0,23.3061,61.1,38.4,0.1361,63.8,62.1
